Date,Nike,Ralph Lauren,S&P 500,UUP
01-09-2018,84.720001,136.9245,2913.97998,25.26
01-08-2018,81.998032,132.206055,2901.52002,25.190001
01-07-2018,76.721031,134.36618,2816.290039,24.98
01-06-2018,79.262825,124.531288,2718.370117,24.940001
01-05-2018,71.42408,133.30751,2705.27002,24.76
01-04-2018,68.031937,108.811348,2648.050049,24.129999
01-03-2018,65.89283,110.237656,2640.870117,23.610001
01-02-2018,66.477966,104.360931,2713.830078,23.690001
01-01-2018,67.658165,112.712578,2823.810059,23.25
01-12-2017,61.829517,101.746162,2673.610107,24.007378
01-11-2017,59.724049,93.366264,2584.840088,24.167227
01-10-2017,54.356602,87.753487,2575.26001,24.556858
01-09-2017,51.252766,86.149231,2519.360107,24.157236
01-08-2017,52.022938,85.758926,2471.649902,24.007378
01-07-2017,58.169937,73.815712,2470.300049,24.047338
01-06-2017,57.92326,71.516541,2423.409912,24.7267
01-05-2017,52.022942,65.702187,2411.800049,25.056389
01-04-2017,54.398777,78.222427,2384.199951,25.545927
01-03-2017,54.542992,78.610222,2362.719971,25.92557
01-02-2017,55.942528,76.404678,2363.639893,26.085419
01-01-2017,51.773266,85.169106,2278.870117,25.705776
01-12-2016,50.436424,86.50666,2238.830078,26.215296
01-11-2016,48.827377,100.193344,2198.810059,26.225286
01-10-2016,48.934647,93.958199,2126.149902,25.396069
01-09-2016,51.060886,96.374916,2168.27002,24.656765
01-08-2016,55.900269,98.738075,2170.949951,24.796633
01-07-2016,53.82486,93.468605,2173.600098,24.646774
01-06-2016,53.377983,84.91185,2098.860107,24.816614
01-05-2016,53.39732,89.374413,2096.949951,24.816614
01-04-2016,56.994526,88.313232,2065.300049,24.077311
01-03-2016,59.288166,90.730446,2059.73999,24.516897
01-02-2016,59.403915,85.546387,1932.22998,25.466002
01-01-2016,59.808998,106.037575,1940.23999,25.835655
01-12-2015,59.990063,104.601181,2043.939941,25.625851
01-11-2015,63.483887,116.54567,2080.409912,26.055447
01-10-2015,62.88398,103.934975,2079.360107,25.226229
01-09-2015,58.717281,110.366631,1920.030029,25.07637
01-08-2015,107.550476,103.856346,1972.180054,25.036407
01-07-2015,55.01672,117.586784,2103.840088,25.406059
01-06-2015,51.57877,123.187134,2063.110107,25.006435
01-05-2015,48.282333,121.362946,2107.389893,25.436029
01-04-2015,46.938385,124.164352,2085.51001,24.886549
01-03-2015,47.645981,121.929138,2067.889893,25.875616
01-02-2015,45.854813,127.408974,2104.5,25.176275
01-01-2015,43.555458,154.743378,1994.98999,25.10634
01-12-2014,45.136513,171.25499,2058.899902,23.947433
01-11-2014,46.61055,171.014496,2067.560059,23.447903
01-10-2014,43.643703,152.460953,2018.050049,23.068262
01-09-2014,41.873913,151.955933,1972.290039,22.848471
01-08-2014,36.429169,156.0793,2003.369995,21.999269
01-07-2014,35.770622,143.773773,1930.670044,21.719532
01-06-2014,35.965401,147.806778,1960.22998,21.239985
01-05-2014,35.444099,141.17485,1923.569946,21.449787
01-04-2014,33.619129,139.234024,1883.949951,21.259966
01-03-2014,34.038509,147.601318,1872.339966,21.439795
01-02-2014,35.863815,147.738922,1859.449951,21.359871
01-01-2014,33.367554,143.895905,1782.589966,21.809448
01-12-2013,35.794544,161.529312,1848.359985,21.499741
01-11-2013,36.022129,160.303406,1805.810059,21.679571
01-10-2013,34.483658,151.530289,1756.540039,21.609636
01-09-2013,33.06353,150.332886,1681.550049,21.609636
01-08-2013,28.404251,150.953415,1632.969971,22.169109
01-07-2013,28.449463,166.148209,1685.72998,22.069204
01-06-2013,28.7931,157.811539,1606.280029,22.538761
01-05-2013,27.693678,159.03775,1630.73999,22.588715
01-04-2013,28.565001,164.932755,1597.569946,22.1791
01-03-2013,26.503473,153.420288,1569.189941,22.578724
01-02-2013,24.270853,157.189865,1514.680054,22.34894
01-01-2013,24.088129,150.855911,1498.109985,21.599648
01-12-2012,22.600737,135.488968,1426.189941,21.789467
01-11-2012,21.348063,141.968781,1416.180054,21.899363
01-10-2012,20.012163,138.896072,1412.160034,21.86939
01-09-2012,20.78524,136.311981,1440.670044,21.899363
01-08-2012,21.010677,143.000031,1406.579956,22.279005
01-07-2012,20.1453,130.1017,1379.319946,22.688618
01-06-2012,18.94327,125.885719,1362.160034,22.448845
01-05-2012,23.036144,133.741226,1310.329956,22.968355
01-04-2012,23.821901,154.835999,1397.910034,21.789467
01-03-2012,22.783394,156.509644,1408.469971,21.889372
01-02-2012,22.674143,155.970947,1365.680054,21.939325
01-01-2012,21.848442,136.46225,1312.410034,22.099176
01-12-2011,19.944324,123.788879,1257.599976,22.448845
01-11-2011,19.905008,127.177628,1246.959961,22.03923
01-10-2011,19.940184,142.355438,1253.300049,21.549692
01-09-2011,17.443539,116.119865,1131.420044,22.288996
01-08-2011,17.676083,122.754021,1218.890015,21.050163
01-07-2011,18.390078,120.92765,1292.280029,21.010202
01-06-2011,18.078331,118.542389,1320.640015,21.200022
01-05-2011,16.967268,113.321922,1345.199951,21.31991
01-04-2011,16.539326,116.897583,1363.609985,20.930277
01-03-2011,14.99575,110.353943,1325.829956,21.769487
01-02-2011,17.636349,113.084885,1327.219971,22.069204
01-01-2011,16.338835,95.654961,1286.119995,22.338949
01-12-2010,16.681812,98.904602,1257.640015,22.688618
01-11-2010,16.820473,97.406616,1180.550049,23.477877
01-10-2010,15.904556,86.385521,1183.26001,22.34894
01-09-2010,15.416338,80.037979,1141.199951,22.818497
01-08-2010,13.465732,67.461327,1049.329956,24.097294
01-07-2010,14.165953,70.373924,1101.599976,23.717649
01-06-2010,12.802188,64.896683,1030.709961,25.036407
01-05-2010,13.717571,77.26049,1089.410034,25.316143
01-04-2010,14.386589,79.964516,1186.689941,23.937441
01-03-2010,13.707419,75.553375,1169.430054,23.777592
01-02-2010,12.607097,71.013428,1104.48999,23.617743
01-01-2010,11.889091,72.852486,1073.869995,23.427923
01-12-2009,12.118128,71.857506,1115.099976,23.058271
01-11-2009,11.901697,68.192757,1095.630005,22.149128
01-10-2009,11.404647,66.036484,1036.189941,22.678629
01-09-2009,11.644247,67.944756,1057.079956,22.768545
01-08-2009,9.9687,58.864136,1020.619995,23.238102
01-07-2009,10.193666,55.91119,987.47998,23.298044
01-06-2009,9.158796,47.430401,919.320007,23.877499
01-05-2009,10.090947,47.67844,919.140015,23.707659
01-04-2009,9.280843,47.696163,872.809998,25.316143
01-03-2009,8.098936,37.383286,797.869995,25.61586
01-02-2009,7.173147,30.499441,735.090027,26.45507
01-01-2009,7.815672,36.30381,825.880005,25.92557
01-12-2008,8.639458,40.13274,903.25,24.502052
01-11-2008,9.020608,38.179581,896.23999,26.347893
01-10-2008,9.762588,41.688194,968.75,26.298273
01-09-2008,null,null,null,null
